"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-MALE","Poblacion de hombres","persons","02","Baja California","male","2020","1900589","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","02","Baja California","total","2020","3769020","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","03","Baja California Sur","female","1995","184481","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","03","Baja California Sur","male","1995","191013","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","03","Baja California Sur","total","1995","375494","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","03","Baja California Sur","female","2000","207791","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","03","Baja California Sur","male","2000","216250","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","03","Baja California Sur","total","2000","424041","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","03","Baja California Sur","female","2005","250882","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","03","Baja California Sur","male","2005","261288","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","03","Baja California Sur","total","2005","512170","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","03","Baja California Sur","female","2010","311593","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","03","Baja California Sur","male","2010","325433","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","03","Baja California Sur","total","2010","637026","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","03","Baja California Sur","female","2020","392568","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-MALE","Poblacion de hombres","persons","03","Baja California Sur","male","2020","405879","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-TOTAL","Poblacion total","persons","03","Baja California Sur","total","2020","798447","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
"POP-FEMALE","Poblacion de mujeres","persons","04","Campeche","female","1995","319525","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; periodo censal comparable por entidad y sexo. 2015 excluido por cobertura incompleta."
