"indicator_id","indicator_name","unit","geo_area","geo_name","sex","time_period","value","status","source","source_url","extraction_date","methodology_note"
"POP-FEMALE","Poblacion de mujeres","persons","18","Nayarit","female","2020","623178","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","19","Nuevo LeÃ³n","total","2020","5784442","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","19","Nuevo LeÃ³n","male","2020","2890950","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","19","Nuevo LeÃ³n","female","2020","2893492","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","20","Oaxaca","total","2020","4132148","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","20","Oaxaca","male","2020","1974843","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","20","Oaxaca","female","2020","2157305","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-TOTAL","Poblacion total","persons","21","Puebla","total","2020","6583278","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-MALE","Poblacion de hombres","persons","21","Puebla","male","2020","3160115","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
"POP-FEMALE","Poblacion de mujeres","persons","21","Puebla","female","2020","3423163","official","INEGI Banco de Indicadores API v2.0","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml","2026-08-02","Consulta API validada; poblacion residente 2020 por entidad federativa y sexo. Token excluido del dataset."
